game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,18m 41.670s,https://www.youtube.com/watch?v=ESKqujcp7Vo,https://youtu.be/VkER0O7RL6s,co-op,2025-08-30,2,sablefarts,ross_aiden,,,http://www.speedrun.com/BO6Zombies/run/y8g40e5z,verified
Call of Duty: Black Ops 6 Zombies,,Shattered Veil,gnxqjz68=1393rex1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; dloe7zen=qke78kkq,PC,22m 14.130s,https://youtu.be/7yLYRPKL314,,co-op,2025-04-26,2,ross_aiden,sablefarts,,,http://www.speedrun.com/BO6Zombies/run/y8gq1rxz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,18m 4.110s,https://www.youtube.com/watch?v=2NpYHat4fwY,https://www.youtube.com/watch?v=ixAi7tANCPo,co-op,2025-02-16,3,ross_aiden,Invisible_hole,sablefarts,,http://www.speedrun.com/BO6Zombies/run/z5lpgo5y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,Xbox Game Pass,20m 52.630s,https://www.twitch.tv/videos/2315424479?filter=highlights&sort=time,,co-op,2024-12-01,3,sablefarts,ross_aiden,Invisible_hole,,http://www.speedrun.com/BO6Zombies/run/zpkn61gy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,19m 29.000s,https://www.twitch.tv/videos/2313707572,,co-op,2024-11-29,3,ross_aiden,Invisible_hole,sablefarts,,http://www.speedrun.com/BO6Zombies/run/zpkn8j8y,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0q5zm8mq; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,13m 46.000s,https://youtu.be/mQQ8NUnvTlY,,co-op,2024-07-17,4,valley172,BicBoymmm,sablefarts,t5kow,http://www.speedrun.com/bocwz/run/mrx89wdm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,12m 21.050s,https://www.youtube.com/watch?v=yUbCS-37d2U,,co-op,2023-10-17,4,FrothyMilkshake,Emrys,sablefarts,ZoRaptr,http://www.speedrun.com/bo2zombies/run/z5k0pkez,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,12m 33.700s,https://youtu.be/GBWO4xCqOrs,,co-op,2023-10-16,4,FrothyMilkshake,Emrys,sablefarts,ZoRaptr,http://www.speedrun.com/bo2zombies/run/yvv21qey,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,6m 36.350s,https://www.youtube.com/watch?v=E2DA6fLRXoc&t=36s&ab_channel=Sable,,solo,2023-09-25,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/y6qll21z,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=p12nek1x,PC,4m 54.400s,https://www.youtube.com/watch?v=1qUiUVds3as&t=237s&ab_channel=Sable,,solo,2023-09-25,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/mr2eel2y,rejected
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=p12nek1x,PC,4m 54.400s,https://www.youtube.com/watch?v=1qUiUVds3as&ab_channel=Sable,,solo,2023-08-23,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/y9k51ekz,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 2lg32qnp=0130e315,PC,6m 31.700s,https://www.youtube.com/watch?v=9z5uZsUgNxs,,co-op,2023-08-03,4,JDubs,Excosis,sablefarts,ZoRaptr,http://www.speedrun.com/bo2zombies/run/z1lvexjm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=le2669kl; 2lg32qnp=0130e315,PC,6m 44.800s,https://youtu.be/GcAoD5cOr8o,,co-op,2023-05-25,4,JDubs,Excosis,sablefarts,Frothy Milkshake,http://www.speedrun.com/bo2zombies/run/m3q58qgy,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=0q56zn1p,PC,6m 41.850s,https://www.youtube.com/watch?v=0JXlgJPzIJs&lc=UgxCYfQBz0Gk44LzDWt4AaABAg&ab_channel=sable,,solo,2023-05-09,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/zge72djy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,6m 54.560s,https://www.youtube.com/watch?v=tOORMGbk3HU&t=62s&ab_channel=sable,,solo,2023-04-06,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/y9826jnz,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=0130e315,PC,14m 15.000s,https://www.youtube.com/watch?v=sUk0LGPAdu8&ab_channel=Sable,,solo,2023-03-19,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/y2k1185y,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,18m 42.150s,https://www.youtube.com/watch?v=Efrhh4Ijmko&t=87s&ab_channel=sable,,solo,2023-01-29,1,sablefarts,,,,http://www.speedrun.com/bo2zombies/run/y96v29ky,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,14m 32.400s,https://www.youtube.com/watch?v=-rs2J1sLKjM&t=30s&ab_channel=Sable,,co-op,2023-01-05,3,sablefarts,DankSlushie,RealitySR,,http://www.speedrun.com/bo2zombies/run/y9k5norz,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,12m 44.000s,https://youtu.be/GLY4h_GH-gQ,,co-op,2023-01-01,4,JettLag,sablefarts,Dank_Slushie,RealitySR,http://www.speedrun.com/bo2zombies/run/yd266vjm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,6m 47.000s,https://youtu.be/9Y_PI1jdkqc,,co-op,2022-07-18,3,PizzaHydra,sablefarts,MEGAAMANNN,,http://www.speedrun.com/bo2zombies/run/y2p43pwz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,25m 59.650s,https://www.youtube.com/watch?v=w742IqEe20A&t=669s,,solo,2025-07-22,1,sablefarts,,,,http://www.speedrun.com/bo3zombies/run/y2r1xx7m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,20m 13.450s,https://www.youtube.com/watch?v=zWOujo7dwjc&t=476s,,solo,2025-06-29,1,sablefarts,,,,http://www.speedrun.com/bo3zombies/run/zq5r111z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=814jp01d; wlewprl6=1py09481,PC,16m 27.320s,https://www.youtube.com/watch?v=CjR3NrbnqbE,,co-op,2025-06-05,4,ScottyDogs007,sablefarts,cbrnn,kaedons,http://www.speedrun.com/bo3zombies/run/m7vlgdem,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=814jp01d; gnx65jnv=gq75zgy1,PC,14m 43.000s,https://www.youtube.com/watch?v=mX2La968RSk,,co-op,2025-01-10,4,sablefarts,cbrnn,ZoRaptr,Seqn3,http://www.speedrun.com/bo3zombies/run/y6gd7g6m,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=4lxz9212; gnx65jnv=gq75zgy1,PC,15m 59.000s,https://www.twitch.tv/videos/2246078562https://www.youtube.com/watch?v=vG4h2iPdKgk,https://www.youtube.com/watch?v=ofwaI2cxzQk,co-op,2025-01-10,3,sablefarts,cbrnn,ZoRaptr,,http://www.speedrun.com/bo3zombies/run/y4jr5j3y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=0q56pm1p; gnx65jnv=gq75zgy1,PC,17m 54.000s,https://www.youtube.com/watch?v=CSpY-ITICUI,https://www.youtube.com/watch?v=9TRxz8sJ83Q&t=813s,co-op,2025-01-10,2,sablefarts,cbrnn,,,http://www.speedrun.com/bo3zombies/run/mr01qxgm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PlayStation 4,20m 40.730s,https://youtu.be/_zqIfKcE1T8?si=vMQ0kDMBduzxtcHb,,solo,2024-12-06,1,sablefarts,,,,http://www.speedrun.com/bo3zombies/run/ydvqrowy,verified
