game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=9qjno4e1; gnxj7pgl=810y752l,PC,11m 22.760s,https://youtu.be/COKx4oNPM8U,,solo,2021-01-05,1,tearsxp,,,,http://www.speedrun.com/bocwz/run/mr9g467m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=5lez085l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 12.420s,https://www.twitch.tv/videos/861471990,,co-op,2021-01-04,3,tearsxp,Urlocalcat,Archer1132,,http://www.speedrun.com/bocwz/run/me6qk33z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 52.090s,https://youtu.be/MYa55WDbyGc,,co-op,2021-01-03,2,tearsxp,Urlocalcat,,,http://www.speedrun.com/bocwz/run/z534wd5y,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 8.560s,https://youtu.be/oABsOIc5FNI,,solo,2021-01-02,1,tearsxp,,,,http://www.speedrun.com/bocwz/run/y91ql5rm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=81pozngq; gnxj7pgl=810y752l,PC,14m 35.000s,https://youtu.be/6lastR1U38o,,co-op,2020-12-29,2,Exec-Rigz,tearsxp,,,http://www.speedrun.com/bocwz/run/zq4nrnrm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 39.110s,https://youtu.be/GG4k4GjICCs,,co-op,2020-12-29,2,Exec-Rigz,tearsxp,,,http://www.speedrun.com/bocwz/run/zq4nw61m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 13.000s,https://www.twitch.tv/videos/854354934,,solo,2020-12-29,1,tearsxp,,,,http://www.speedrun.com/bocwz/run/mk8xgqvm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 45.810s,https://www.youtube.com/watch?v=jl1r0ChijcQ,,solo,2020-12-28,1,tearsxp,,,,http://www.speedrun.com/bocwz/run/y4e0vvqm,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 43.930s,https://youtu.be/Nwrpwwf8Qu8,,solo,2020-12-28,1,tearsxp,,,,http://www.speedrun.com/bocwz/run/m75j1pwz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 49.000s,https://youtu.be/Q7aWBFB_dxI,,co-op,2020-12-28,2,Exec-Rigz,tearsxp,,,http://www.speedrun.com/bocwz/run/zn36re3y,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,4m 2.810s,https://www.youtube.com/watch?v=z2KwC0tOEkM,,solo,2026-03-07,1,tearsxp,,,,http://www.speedrun.com/bo2zombies/run/y2612d6m,verified
