game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,forsaken,high-round,without-support,steam,https://youtube.com/watch?v=778RP7ipaw4,,co-op,290,2,Maddog187_,420xjordan,,,0,
vanguard,der-anfang,high-round,without-void,xbox,http://twitch.tv/videos/1483389316,,solo,222,1,420xjordan,,,,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1711453237,,co-op,216,3,CharlieHope,420xjordan,Maddog187_,,0,
sker-ritual,deadly-lovers-fortress,high-round,nightmare,xbox,http://twitch.tv/videos/2141154417,,co-op,201,2,PoetCLC,420xjordan,,,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1494491579,,co-op,186,3,CharlieHope,Draftahh,420xjordan,,0,
vanguard,the-archon,high-round,,cross-play,http://twitch.tv/videos/1873801276,,co-op,185,4,FnLizardKing,Maddog187_,420xjordan,Ms-IslandLady,0,
vanguard,the-archon,high-round,,playstation,http://twitch.tv/videos/1902573637,,co-op,170,3,Maddog187_,420xjordan,PoetCLC,,0,
bocw,die-maschine,high-round,without-support,steam,http://twitch.tv/videos/1715628937,,co-op,170,4,hawkward,420xjordan,Maddog187_,CharlieHope,0,
bocw,firebase-z,high-round,without-support,steam,http://twitch.tv/videos/1500495650,,co-op,161,3,hawkward,CharlieHope,420xjordan,,0,
bocw,forsaken,high-round,with-support,playstation,http://twitch.tv/videos/1457450593,,co-op,156,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,der-anfang,high-round,without-void,playstation,https://youtube.com/watch?v=uhPuoUZVYtM,,co-op,150,2,Maddog187_,420xjordan,,,0,
vanguard,terra-maledicta,high-round,without-void,playstation,http://twitch.tv/videos/1481252134,,co-op,150,2,CharlieHope,420xjordan,,,0,
bocw,mauer-der-toten,high-round,without-support,playstation,http://twitch.tv/videos/1491641630,,co-op,146,4,CharlieHope,Draftahh,xxD3vilz,420xjordan,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ULm97mg90sI,,co-op,143,3,Durix_tn,420xjordan,LTX_Kris,,0,
bocw,mauer-der-toten,high-round,with-support,playstation,http://twitch.tv/videos/1564551149,,co-op,134,3,BeTTaPacKaZomBiE,420xjordan,Bosstempike,,0,
bo6,citadelle-des-morts,high-round,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=p2CrJ5SrFTU,,co-op,126,3,Sync,PoetCLC,420xjordan,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=gV47mt8mvPA,,co-op,124,3,Durix_tn,Maddog187_,420xjordan,,0,
vanguard,terra-maledicta,high-round,without-void,cross-play,http://twitch.tv/videos/1830143654,,co-op,123,3,Maddog187_,420xjordan,PoetCLC,,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=1jT6LZldoHI,,co-op,116,3,Durix_tn,Maddog187_,420xjordan,,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1728241085,,co-op,115,4,Chris92,Kali123weed,420xjordan,Tryitout,0,
vanguard,shi-no-numa-reborn,high-round,,steam,https://youtube.com/watch?v=yNjXIkP7ly8,,co-op,106,3,Skrine,420xjordan,PoetCLC,,0,
bocw,firebase-z,high-round,without-support,steam,http://twitch.tv/videos/1568355809,,co-op,106,4,hawkward,BeTTaPacKaZomBiE,PackaPunchPapi,420xjordan,0,
bocw,forsaken,high-round,without-support,xbox,http://twitch.tv/videos/1492409397,,solo,102,1,420xjordan,,,,0,
bo6,terminus,high-round,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=uEjAmHY8Jxs,,co-op,101,3,Sync,PoetCLC,420xjordan,,0,
vanguard,shi-no-numa-reborn,high-round,,cross-play,http://twitch.tv/videos/1873017611,,co-op,100,4,FnLizardKing,Maddog187_,420xjordan,Ms-IslandLady,0,
vanguard,terra-maledicta,high-round,with-void,playstation,https://youtube.com/watch?v=tgnhZiHgDbA,,co-op,100,3,dVs_Potty,Maddog187_,420xjordan,,0,
vanguard,terra-maledicta,high-round,with-void,xbox,http://twitch.tv/videos/1471862811,,co-op,95,4,xxD3vilz,420xjordan,CharlieHope,Draftahh,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1314017094,,co-op,91,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,terra-maledicta,high-round,without-void,cross-play,https://youtube.com/watch?v=ptkSh6mNGtM,,co-op,90,4,Maddog187_,420xjordan,Ms-IslandLady,FnLizardKing,0,
bocw,firebase-z,high-round,without-support,playstation,http://twitch.tv/videos/1495635713,,co-op,76,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
