game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,bodega-cervantes,high-round,,xbox,https://youtube.com/watch?v=JX8H6ha-omM,,co-op,100,2,Dnorr25,JMPatriot1776,,,0,
wwii,prologue,high-round,,xbox,https://youtube.com/watch?v=zzv3Tzfytfk,,solo,31,1,Dnorr25,,,,0,
wwii,gresten-haus,flawless,,xbox,https://youtube.com/watch?v=CuaryyhyuNs,,co-op,65,2,Dnorr25,JMPatriot1776,,,0,
wwii,prologue,flawless,,xbox,https://youtube.com/watch?v=zzv3Tzfytfk,,solo,31,1,Dnorr25,,,,0,
wwii,gresten-haus,first-room,with-consumables,xbox,https://youtube.com/watch?v=qivDWybXBiQ,,co-op,46,3,Dnorr25,JMPatriot1776,UltimateZenith1,,0,
waw,der-riese,first-room,none,steam,https://youtube.com/watch?v=IfkDdibR3gY,,co-op,20,2,CodyDaGoat,Dnorr25,,,0,
wwii,the-shadowed-throne,wwii-no-armor,with-consumables,xbox,http://twitch.tv/videos/2129517142,,co-op,61,2,Skrine,Dnorr25,,,0,
wwii,gresten-haus,wwii-no-armor,with-consumables,xbox,https://youtube.com/watch?v=igz0WthKpEo,,co-op,55,2,Dnorr25,JMPatriot1776,,,0,
wwii,gresten-haus,wwii-no-armor,with-consumables,xbox,https://youtube.com/watch?v=JaW0jAFD8m4,,solo,51,1,Dnorr25,,,,0,
wwii,the-shadowed-throne,no-blitz,with-consumables,xbox,http://twitch.tv/videos/2129517142,,co-op,61,2,Skrine,Dnorr25,,,0,
wwii,gresten-haus,no-blitz,with-consumables,xbox,https://youtube.com/watch?v=igz0WthKpEo,,co-op,55,2,Dnorr25,JMPatriot1776,,,0,
wwii,the-frozen-dawn,30-speedrun,with-consumables,steam,https://youtube.com/watch?v=QTH8Sj8tyAc,,solo,22:54,1,Dnorr25,,,,0,
wwii,gresten-haus,30-speedrun,no-consumables,steam,https://youtube.com/watch?v=greE3oxYJPM,,solo,23:33,1,Dnorr25,,,,0,
wwii,the-frozen-dawn,30-speedrun,no-consumables,xbox,https://youtube.com/watch?v=cj1AoDnpSCM,,solo,23:41,1,Dnorr25,,,,0,
wwii,gresten-haus,30-speedrun,with-consumables,xbox,https://youtube.com/watch?v=L0dAA8IjG3Y,,co-op,24:48,2,Dnorr25,JMPatriot1776,,,0,
wwii,gresten-haus,30-speedrun,with-consumables,xbox,https://youtube.com/watch?v=XhrEHhxvD34,,solo,25:11,1,Dnorr25,,,,0,
wwii,gresten-haus,30-speedrun,with-consumables,xbox,https://youtube.com/watch?v=MT1H-ABT8yY,,co-op,25:24,3,Dnorr25,JMPatriot1776,UltimateZenith1,,0,
wwii,the-darkest-shore,30-speedrun,with-consumables,xbox,https://youtube.com/watch?v=KHG5aqbgcQs,,solo,25:28,1,Dnorr25,,,,0,
wwii,bodega-cervantes,30-speedrun,with-consumables,steam,https://youtube.com/watch?v=_JG8W-WzpHM,,solo,25:30,1,Dnorr25,,,,0,
wwii,the-frozen-dawn,30-speedrun,with-consumables,xbox,https://youtube.com/watch?v=zJuAfB378RU,,co-op,25:35,2,Dnorr25,JMPatriot1776,,,0,
wwii,bodega-cervantes,30-speedrun,no-consumables,xbox,https://youtube.com/watch?v=KXtwXcE1VzA,,solo,26:21,1,Dnorr25,,,,0,
wwii,the-frozen-dawn,30-speedrun,no-consumables,steam,https://youtube.com/watch?v=_W3KPedSa0Q,,co-op,26:23,2,Dnorr25,RandeazyGaming,,,0,
wwii,uss-mount-olympus,30-speedrun,with-consumables,steam,https://youtube.com/watch?v=gKYoSXRmfqQ,,solo,26:53,1,Dnorr25,,,,0,
wwii,gresten-haus,30-speedrun,no-consumables,xbox,https://youtube.com/watch?v=tiSWsL9Xgi0,,co-op,27:13,2,Dnorr25,JMPatriot1776,,,0,
wwii,the-darkest-shore,30-speedrun,with-consumables,xbox,http://twitch.tv/videos/2053593827,,co-op,27:14,2,rde,Dnorr25,,,0,
wwii,altar-of-blood,30-speedrun,no-consumables,steam,https://youtube.com/watch?v=nEqH19jB9MY,,solo,27:16,1,Dnorr25,,,,0,
