game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ZjvAV_15jbU,,co-op,356,2,Durix_tn,Player 2,,,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=oWt3S_xtU2Q,,solo,270,1,Durix_tn,,,,0,
bo4,classified,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=o0OMvrAem_Q,,solo,259,1,Durix_tn,,,,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=T7sGL4fHQ4I,,solo,256,1,Durix_tn,,,,0,
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=1yCN3tDzUDU,,solo,232,1,Durix_tn,,,,0,
bo4,blood-of-the-dead,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=W0yG6TSayzY,,solo,215,1,Durix_tn,,,,0,
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=VdVKfflT9e0,,co-op,207,3,Durix_tn,Player 2,Player 3,,0,
bo4,ix,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=n9iA_VBEdYI,,solo,164,1,Durix_tn,,,,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ULm97mg90sI,,co-op,143,3,Durix_tn,420xjordan,LTX_Kris,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=gV47mt8mvPA,,co-op,124,3,Durix_tn,Maddog187_,420xjordan,,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=1jT6LZldoHI,,co-op,116,3,Durix_tn,Maddog187_,420xjordan,,0,
bo4,blood-of-the-dead,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=tQw3Yd3kRNg,,co-op,105,3,Durix_tn,RiskRBK,endlessmadness,,0,
