game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,forsaken,high-round,with-support,steam,https://youtube.com/watch?v=PTJGJXwsyjM,,solo,489,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=VZmAnRSKtGw,,solo,255,1,GannonSnipes,,,,0,
bo3,verruckt,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=pnVhJozDD6c,,solo,255,1,GannonSnipes,,,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=FF0HMl2e-jA,,solo,255,1,GannonSnipes,,,,0,
bo3,der-eisendrache,high-round,no-gobblegum,steam,https://youtube.com/watch?v=HoH4-0xFe50,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,high-round,no-gobblegum,steam,https://youtube.com/watch?v=jLxkBneAPmo,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=o5ljapOHUxI,,co-op,255,2,GannonSnipes,FadedZ,,,0,
bo3,moon,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=pxzlWuE3p88,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=Sji2erkn720,,solo,255,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,high-round,no-gobblegum,steam,https://youtube.com/watch?v=1Ol0MmVRHGA,,solo,255,1,GannonSnipes,,,,0,
bo3,revelations,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=cBo77-Oh6jU,,solo,255,1,GannonSnipes,,,,0,
bo3,revelations,high-round,no-gobblegum,steam,https://youtube.com/watch?v=aR7s0xF__Aw,,solo,255,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=3lcDtOqvheU,,solo,255,1,GannonSnipes,,,,0,
bo3,ascension,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=7IfkQa7TjBs,,solo,255,1,GannonSnipes,,,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=_Mx2GLouCBA,,solo,248,1,GannonSnipes,,,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=oDafgsVKd-E,,co-op,124,2,GannonSnipes,FadedZ,,,0,
bocw,forsaken,flawless,with-support,steam,http://twitch.tv/videos/1174486666,,solo,322,1,GannonSnipes,,,,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=FF0HMl2e-jA,,solo,255,1,GannonSnipes,,,,0,
bo3,der-eisendrache,flawless,no-gobblegum,steam,https://youtube.com/watch?v=HoH4-0xFe50,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=pxzlWuE3p88,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=Sji2erkn720,,solo,255,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,flawless,no-gobblegum,steam,https://youtube.com/watch?v=1Ol0MmVRHGA,,solo,255,1,GannonSnipes,,,,0,
bo3,revelations,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=cBo77-Oh6jU,,solo,255,1,GannonSnipes,,,,0,
bo3,revelations,flawless,no-gobblegum,steam,https://youtube.com/watch?v=aR7s0xF__Aw,,solo,255,1,GannonSnipes,,,,0,
bo3,ascension,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=7IfkQa7TjBs,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=K--0wa85b88,,co-op,209,2,GannonSnipes,FadedZ,,,0,
bo3,verruckt,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=pnVhJozDD6c,,solo,178,1,GannonSnipes,,,,0,
bo3,shangri-la,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=oDafgsVKd-E,,co-op,121,2,GannonSnipes,FadedZ,,,0,
bo3,moon,flawless,mega-gobblegum,steam,http://twitch.tv/videos/1129812637,,co-op,50,4,Skrine,Scrappy,Sway,GannonSnipes,0,
bo3,moon,no-aat,classic-gobblegum-only,steam,https://youtube.com/watch?v=Ca_gLBiL0qI,,solo,247,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,no-power,no-gobblegum,steam,https://youtube.com/watch?v=2jhFYmUInTo,,co-op,99,4,kxg124,GannonSnipes,Skrine,Jumpy,0,
bo3,shadows-of-evil,no-power,no-gobblegum,steam,https://youtube.com/watch?v=qDaICoHiC9E,,co-op,91,3,kxg124,GannonSnipes,Jumpy,,0,
bo3,moon,no-power,no-gobblegum,steam,https://youtube.com/watch?v=JoTm__rcyEE,,co-op,67,4,GannonSnipes,kxg124,Skrine,Jumpy,0,
bo3,moon,no-perks,classic-gobblegum-only,steam,https://youtube.com/watch?v=X00o63d8RPk,,solo,179,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,no-perks,mega-gobblegum,steam,https://youtube.com/watch?v=6iKtJppvEX8,,solo,152,1,GannonSnipes,,,,0,
bo3,moon,no-perks,no-gobblegum,xbox,https://youtube.com/watch?v=LVjYNw8Q0UM,,co-op,127,2,GannonSnipes,kxg124,,,0,
bo3,moon,no-perks,mega-gobblegum,xbox,https://youtube.com/watch?v=gP61pORe-T4,,solo,126,1,GannonSnipes,,,,0,
bo3,revelations,no-perks,mega-gobblegum,xbox,http://twitch.tv/videos/694882050,,solo,100,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,no-perks,no-gobblegum,steam,https://youtube.com/watch?v=2jhFYmUInTo,,co-op,99,4,GannonSnipes,kxg124,Skrine,Jumpy,0,
bo3,moon,no-perks,no-gobblegum,xbox,https://youtube.com/watch?v=OTK4pejBH3M,,solo,99,1,GannonSnipes,,,,0,
bo3,verruckt,no-perks,mega-gobblegum,xbox,http://twitch.tv/videos/669577667,,solo,82,1,GannonSnipes,,,,0,
bo3,the-giant,no-perks,mega-gobblegum,xbox,http://twitch.tv/videos/678012767,,solo,64,1,GannonSnipes,,,,0,
bo3,shangri-la,no-perks,no-gobblegum,xbox,http://twitch.tv/videos/670959253,,solo,31,1,GannonSnipes,,,,0,
bo3,moon,no-jug,no-gobblegum,steam,https://youtube.com/watch?v=jLxkBneAPmo,,solo,255,1,GannonSnipes,,,,0,
bo3,shadows-of-evil,no-jug,no-gobblegum,steam,https://youtube.com/watch?v=1Ol0MmVRHGA,,solo,255,1,GannonSnipes,,,,0,
bo3,moon,no-jug,no-gobblegum,xbox,https://youtube.com/watch?v=LVjYNw8Q0UM,,co-op,127,2,GannonSnipes,kxg124,,,0,
bo3,shadows-of-evil,no-jug,no-gobblegum,steam,https://youtube.com/watch?v=2jhFYmUInTo,,co-op,99,4,GannonSnipes,Skrine,kxg124,Jumpy,0,
custom,extinct-the-last-compound-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=SFFu1q8lGpI,,solo,26:31,1,GannonSnipes,,,,0,
custom,spongebobs-house-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=Waqi7LB6mEo,,solo,26:37,1,GannonSnipes,,,,0,
custom,krusty-krab-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=U3ShwpR1Q9M,,solo,26:44,1,GannonSnipes,,,,0,
custom,atrox-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=DlLiPLFS9s0,,solo,27:38,1,GannonSnipes,,,,0,
custom,sandys-tree-dome-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=1KnhkDgpapk,,solo,27:58,1,GannonSnipes,,,,0,
custom,poop-of-the-dead-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=5-d5Jtkko2c,,solo,28:24,1,GannonSnipes,,,,0,
custom,saburra-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=6oslDn-voJ8,,solo,28:29,1,GannonSnipes,,,,0,
custom,mcdonalds-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=eeCXMUuTRec,,solo,28:42,1,GannonSnipes,,,,0,
custom,fabrik-der-untoten-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=RT2r03HDhD4,,solo,29:08,1,GannonSnipes,,,,0,
custom,1938-full-circle-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=xNz6Led_B6w,,solo,29:09,1,GannonSnipes,,,,0,
custom,kowloon-reimagined-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=C6gqC7uRKes,,solo,29:14,1,GannonSnipes,,,,0,
custom,mori-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=uKayjyIgWP0,,solo,29:30,1,GannonSnipes,,,,0,
custom,spongebobs-house-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=Nr_GoNwI91o,,co-op,29:40,2,GannonSnipes,Skrine,,,0,
