game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
mw3,carbon,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=1VBiIPPjD-E,,co-op,400,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,carbon,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=1TK2129gX-8,,co-op,392,2,IvanMarkovic257,Azzerty31,,,0,
mw3,seatown,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=yxedBnc-iRM,,co-op,365,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,dome,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=LixNdhSPxMI,,co-op,315,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,seatown,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=-NHzvP_27A0,,co-op,315,2,IvanMarkovic257,Subliminal791,,,0,
mw3,parish,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=U3d1bYVwtfE,,co-op,313,2,IvanMarkovic257,LowZzzzzzzz,,,0,
mw3,terminal,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=SiTTYDZ5oXg,,co-op,312,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,bakaara,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=tXaSOJaGEaY,,co-op,307,2,MadManBobbo,IvanMarkovic257,,,0,
mw3,carbon,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=8qSYn9Xn5zw,,co-op,306,2,IvanMarkovic257,Mr Leebee,,,0,
mw3,boardwalk,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=7W7QCxkQFPg,,co-op,304,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,lockdown,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=YMXQzlIgp1U,,co-op,298,2,IvanMarkovic257,Azzerty31,,,0,
mw3,resistance,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=hD0uowtRLyk,,co-op,293,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,black-box,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=uCYNgjoNv5g,,co-op,292,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,arkaden,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=Tydca8yHi9Y,,co-op,292,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,mission,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=qAsU99H12tw,,co-op,288,2,MadManBobbo,IvanMarkovic257,,,0,
mw3,sanctuary,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=6y1zqkDV4lE,,co-op,288,2,IvanMarkovic257,Azzerty31,,,0,
mw3,outpost,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=DOuWm0-QpJs,,co-op,277,2,IvanMarkovic257,Azzerty31,,,0,
mw3,bootleg,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=6hTxyS0S32o,,co-op,272,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,piazza,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=I5QiX7M5vXE,,co-op,269,2,OneShot2Shot313,IvanMarkovic257,,,0,
mw3,fallen,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=ufFqr6f1WbM,,co-op,265,2,IvanMarkovic257,PlayerGaming390,,,0,
mw3,underground,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=QRQw2PI1Zh8,,co-op,265,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,carbon,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=C7BjBSSArn0,,co-op,261,2,PlayerGaming390,IvanMarkovic257,,,0,
mw3,resistance,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=2UdFbO78DYY,,co-op,260,2,IvanMarkovic257,Evan360flip,,,0,
mw3,gulch,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=jwBK2b6BEpI,,co-op,252,2,IvanMarkovic257,Subliminal791,,,0,
mw3,mission,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=534FIL0R8tM,,co-op,252,2,IvanMarkovic257,Azzerty31,,,0,
mw3,carbon,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=d8JYVweCn-g,,co-op,248,2,IvanMarkovic257,Thegerichrmk1,,,0,
mw3,dome,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=aW3NjDOEK-k,,co-op,237,2,IvanMarkovic257,Subliminal791,,,0,
mw3,decommission,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=wujjpvixbrU,,co-op,234,2,IvanMarkovic257,LowZzzzzzzz,,,0,
mw3,oasis,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=DBsy6j3LvQ4,,co-op,227,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,foundation,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=d9Tyf26Adig,,co-op,220,2,IvanMarkovic257,Azzerty31,,,0,
mw3,downturn,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=zIUluC2XDAU,,co-op,220,2,IvanMarkovic257,MadManBobbo,,,0,
mw3,hardhat,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=75GYis5zCWs,,co-op,220,2,IvanMarkovic257,PlayerGaming390,,,0,
mw3,off-shore,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=-E-lvyhlbPs,,co-op,219,2,IvanMarkovic257,Evan360flip,,,0,
mw3,liberation,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=8l3Mgi3tKtw,,co-op,219,2,IvanMarkovic257,Subliminal791,,,0,
