game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
aw,infection,high-round,,steam,https://youtube.com/watch?v=-TxVwn0cDBw,,solo,146,1,MarinaccioFran98,,,,0,
aw,infection,high-round,,steam,https://youtube.com/watch?v=xbHUd_Swdfc,,co-op,83,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,carrier,high-round,,playstation,http://twitch.tv/videos/1795638816,,co-op,71,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,carrier,high-round,,playstation,http://twitch.tv/videos/1830529770,,co-op,60,3,MarinaccioFran98,BDZ romain_lu,Skrine,,0,
bo3,gorod-krovi,high-round,no-gobblegum,playstation,http://twitch.tv/videos/1417725500,,co-op,60,4,MarinaccioFran98,Raclux,SiMo_SMUM_98,Francex2305,0,
aw,descent,high-round,,steam,https://youtube.com/watch?v=w95zL7dQUsg,,co-op,51,3,MarinaccioFran98,BDZ romain_lu,rFancy,,0,
aw,infection,high-round,,playstation,http://twitch.tv/videos/1781803651,,co-op,40,4,BDZ romain_lu,MarinaccioFran98,Gaffy13,GrambleKing,0,
iw,spaceland,high-round,fate-cards-only,playstation,http://twitch.tv/videos/749529492,,co-op,40,4,MarinaccioFran98,Francex2305,Raclux,SiMo_SMUM_98,0,
aw,infection,flawless,,steam,https://youtube.com/watch?v=-TxVwn0cDBw,,solo,103,1,MarinaccioFran98,,,,0,
aw,descent,flawless,,playstation,https://youtube.com/watch?v=LfB9Kaw7dsM,,co-op,51,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,outbreak,flawless,,playstation,http://twitch.tv/videos/1714126052,,co-op,51,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,carrier,flawless,,playstation,http://twitch.tv/videos/1796085830,,co-op,48,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,descent,flawless,,steam,https://youtube.com/watch?v=w95zL7dQUsg,,co-op,40,3,MarinaccioFran98,BDZ romain_lu,rFancy,,0,
aw,carrier,flawless,,playstation,http://twitch.tv/videos/1829193414,,co-op,39,3,MarinaccioFran98,BDZ romain_lu,Skrine,,0,
aw,infection,flawless,,playstation,http://twitch.tv/videos/1715165565,,co-op,38,2,MarinaccioFran98,BDZ romain_lu,,,0,
iw,spaceland,flawless,fate-cards-only,playstation,http://twitch.tv/videos/749529492,,co-op,35,4,MarinaccioFran98,Francex2305,Raclux,SiMo_SMUM_98,0,
aw,infection,flawless,,playstation,https://youtube.com/watch?v=NLgEIqJzmvw,,co-op,33,3,MarinaccioFran98,BDZ romain_lu,SiMo_SMUM_98,,0,
iw,spaceland,flawless,fate-cards-only,playstation,http://twitch.tv/videos/745202418,,co-op,27,3,MarinaccioFran98,Raclux,Francex2305,,0,
aw,descent,double-feature,,playstation,http://twitch.tv/videos/1877128104,,co-op,51,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,descent,double-feature,,playstation,http://twitch.tv/videos/1819841662,,co-op,38,3,MarinaccioFran98,BDZ romain_lu,Gaffy13,,0,
bo3,ascension,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=7kp2BjWAeJY,,co-op,50,4,MarinaccioFran98,el_tr3vis,justLEO115,FST eevo,0,
aw,outbreak,first-room,,steam,https://youtube.com/watch?v=fcHl2qYkBsk,,co-op,49,2,Carloskrillex,MarinaccioFran98,,,0,
aw,infection,first-room,,steam,https://youtube.com/watch?v=rZVQUiEZnso,,co-op,39,2,Carloskrillex,MarinaccioFran98,,,0,
aw,descent,first-room,,steam,https://youtube.com/watch?v=Q2Q46Sn6Oaw,,co-op,39,2,Carloskrillex,MarinaccioFran98,,,0,
aw,infection,first-room,,steam,https://youtube.com/watch?v=ZSm-ftYNSRU,,co-op,37,4,rFancy,MarinaccioFran98,BDZ romain_lu,Carloskrillex,0,
bo3,origins,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=vamR6mipdxM,,co-op,35,2,MarinaccioFran98,SiMo_SMUM_98,,,0,
bo3,ascension,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/682544850,,co-op,26,4,MarinaccioFran98,Raclux,Francex2305,SiMo_SMUM_98,0,
aw,carrier,first-room,mk14-side,steam,https://youtube.com/watch?v=UptDJcXGD34,,co-op,24,2,MarinaccioFran98,Carloskrillex,,,0,
aw,carrier,first-room,mixed,playstation,https://youtube.com/watch?v=XjL039s8IP4,,co-op,23,2,MarinaccioFran98,BDZ romain_lu,,,0,
bo3,ascension,first-room,no-gobblegum,playstation,http://twitch.tv/videos/678819245,,co-op,19,4,MarinaccioFran98,Raclux,SiMo_SMUM_98,Francex2305,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/672048143,,co-op,15,4,MarinaccioFran98,Raclux,SiMo_SMUM_98,Francex2305,0,
aw,infection,no-power,,steam,https://youtube.com/watch?v=AWRREye489I,,co-op,50,3,Carloskrillex,MarinaccioFran98,BDZ romain_lu,,0,
aw,infection,no-power,,playstation,http://twitch.tv/videos/1844276725,,co-op,46,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,outbreak,no-power,,playstation,http://twitch.tv/videos/1737319507,,co-op,46,2,MarinaccioFran98,BDZ romain_lu,,,0,
aw,carrier,no-power,,playstation,https://youtube.com/watch?v=DigS5eLmAjg,,co-op,45,2,MarinaccioFran98,BDZ romain_lu,,,0,
