game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,burn-em-out,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2353560983,,solo,1:30,1,NuclearOrange7,,,,0,
waw,heart-of-the-reich,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2386041809,,solo,2:49,1,NuclearOrange7,,,,0,
waw,relentless,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2468406053,,solo,3:16,1,NuclearOrange7,,,,0,
waw,ring-of-steel,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2385517754,,solo,3:28,1,NuclearOrange7,,,,0,
waw,blood-iron,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2391985677,,solo,3:47,1,NuclearOrange7,,,,0,
waw,little-resistance,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2380604310,,solo,3:54,1,NuclearOrange7,,,,0,
waw,blowtorch-corkscrew,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2379605922,,solo,4:20,1,NuclearOrange7,,,,0,
waw,eviction,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2471797689,,solo,4:33,1,NuclearOrange7,,,,0,
waw,downfall,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2396144062,,solo,4:50,1,NuclearOrange7,,,,0,
waw,their-land-their-blood,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2413374838,,solo,5:29,1,NuclearOrange7,,,,0,
bo,numbers,campaign-speedrun,veteran,xbox,http://twitch.tv/videos/2487346383,,solo,5:54,1,NuclearOrange7,,,,0,
waw,hard-landing,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2386645085,,solo,6:31,1,NuclearOrange7,,,,0,
waw,vendetta,campaign-speedrun,veteran,xbox,http://twitch.tv/videos/2473085751,,solo,7:10,1,NuclearOrange7,,,,0,
waw,breaking-point,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2386048083,,solo,10:03,1,NuclearOrange7,,,,0,
waw,vendetta,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2402734808,,solo,11:45,1,NuclearOrange7,,,,0,
waw,full-game,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/2456540944,,solo,1:17:00,1,NuclearOrange7,,,,0,
bo,verruckt,high-round,,plutonium,https://youtube.com/watch?v=2D2HS2h9TfU,,co-op,68,4,Salisky,Scorpioeyes,NuclearOrange7,joenis00,0,
bo,call-of-the-dead,flawless,,xbox,http://twitch.tv/videos/2581611797,,co-op,37,4,Salisky,NuclearOrange7,Izuna6900,joenis00,0,
iw,shaolin-shuffle,flawless,fate-cards-only,xbox,http://twitch.tv/videos/2123699266,,co-op,19,4,NuclearOrange7,Pulse ay,IDKPlankton,StankySteve,0,
bo2,buried,first-room,quick-side,xbox,http://twitch.tv/videos/2327835403,,co-op,29,3,Salisky,NuclearOrange7,Merksznn,,0,
bo,call-of-the-dead,first-room,,plutonium,https://youtube.com/watch?v=zJ5Y2OYNKpA,,co-op,28,4,Salisky,D4TR,NuclearOrange7,joenis00,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/2123661266,,co-op,24,4,NuclearOrange7,CitricFNATic,Pulse ay,Player 4,0,
bo2,buried,first-room,quick-side,xbox,http://twitch.tv/videos/2326324525,,co-op,23,4,Salisky,NuclearOrange7,Merksznn,Player 4,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/2112293659,,co-op,22,4,Pulse ay,NuclearOrange7,oE1k,I am the spy255,0,
bo2,town,no-magic,,xbox,http://twitch.tv/videos/2170597166,,co-op,37,3,NuclearOrange7,oE1k,Player 3,,0,
bo2,nuketown,no-magic,,xbox,http://twitch.tv/videos/2157090604,,co-op,29,4,NuclearOrange7,Pulse ay,CandyPills,Player 4,0,
bo,moon,no-perks,,plutonium,https://youtube.com/watch?v=47mNOhZlHYE,,co-op,148,2,Salisky,NuclearOrange7,,,0,
bo,der-riese,no-perks,,plutonium,https://youtube.com/watch?v=acXOngyIqfw,,co-op,109,2,joenis00,NuclearOrange7,,,0,
bo2,tranzit,no-perks,,xbox,http://twitch.tv/videos/2189622538,,co-op,61,2,NuclearOrange7,Player 2,,,0,
bo,call-of-the-dead,no-perks,,xbox,http://twitch.tv/videos/2476682744,,co-op,43,2,NuclearOrange7,Player 2,,,0,
bo2,tranzit,bo2-no-jug,,xbox,http://twitch.tv/videos/2189622538,,co-op,61,2,NuclearOrange7,Player 2,,,0,
bo,moon,no-jug,,plutonium,https://youtube.com/watch?v=47mNOhZlHYE,,co-op,148,2,Salisky,NuclearOrange7,,,0,
bo,der-riese,no-jug,,plutonium,https://youtube.com/watch?v=acXOngyIqfw,,co-op,109,2,joenis00,NuclearOrange7,,,0,
bo,call-of-the-dead,no-jug,,xbox,http://twitch.tv/videos/2476680202,,co-op,49,2,NuclearOrange7,Player 2,,,0,
bo,call-of-the-dead,no-jug,,plutonium,http://twitch.tv/videos/2600795603,,co-op,34,4,LugzBugin,D4TR,PGargler,NuclearOrange7,0,
bo,verruckt,50-speedrun,,plutonium,https://youtube.com/watch?v=sOtYw0C9pP8,,co-op,8:28:46,4,Salisky,Scorpioeyes,NuclearOrange7,joenis00,0,
