game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,karma,campaign-speedrun,none,steam,http://twitch.tv/videos/1954410493,,solo,12:42,1,Russian_Zone,,,,0,
bo2,fallen-angel,campaign-speedrun,none,steam,http://twitch.tv/videos/1951711753,,solo,16:27,1,Russian_Zone,,,,0,
bo2,pyrrhic-victory,campaign-speedrun,none,steam,http://twitch.tv/videos/1951717169,,solo,18:03,1,Russian_Zone,,,,0,
waw,full-game,campaign-speedrun,recruit,steam,https://youtube.com/watch?v=DS81yTsMTHk,,solo,1:20:18,1,Russian_Zone,,,,0,
mw2,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1539180072,,solo,1:25:24,1,Russian_Zone,,,,0,
bocw,full-game,campaign-speedrun,recruit-bad-ending,steam,https://youtube.com/watch?v=Yja5TBva6aE,,solo,1:32:32,1,Russian_Zone,,,,0,
vanguard,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1961948903,,solo,2:12:14,1,Russian_Zone,,,,0,
bo2,full-game,campaign-speedrun,recruit-new-game,steam,http://twitch.tv/videos/1957710840,,solo,2:20:09,1,Russian_Zone,,,,0,
waw,full-game,campaign-speedrun,veteran,steam,https://youtube.com/watch?v=J6JcWsdsBmc,,solo,2:24:06,1,Russian_Zone,,,,0,
bo2,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1947593674,,solo,2:24:31,1,Russian_Zone,,,,0,
wwii,full-game,campaign-speedrun,recruit,steam,https://youtube.com/watch?v=zbwYiwa3i_w,,solo,2:29:42,1,Russian_Zone,,,,0,
bo2,full-game,campaign-speedrun,veteran-new-game,steam,https://youtube.com/watch?v=oCkQITEKEu0,,solo,2:41:54,1,Russian_Zone,,,,0,
wwii,full-game,campaign-speedrun,veteran,steam,https://youtube.com/watch?v=h4oZC74OiB4,,solo,2:59:34,1,Russian_Zone,,,,0,
mw3,invisible-threat,speedrun-specops,veteran,steam,https://youtube.com/watch?v=vmODRSwCx48,,solo,1:12,1,Russian_Zone,,,,0,
mw,door-kick,speedrun-specops,,battle.net,https://youtube.com/watch?v=IscdrsG9oEg,,co-op,1:29,3,Pxndaz,Russian_Zone,Klooger,,0,
mw,door-kick,speedrun-specops,,battle.net,https://youtube.com/watch?v=A9m4u7TkSF0,,co-op,1:29,4,Klooger,Drewinz,Russian_Zone,Pxndaz,0,
mw,pitch-black,speedrun-specops,,battle.net,https://youtube.com/watch?v=bUXOIAfGaUM,,co-op,1:56,3,Klooger,Drewinz,Russian_Zone,,0,
mw,bomb-squad,speedrun-specops,,battle.net,https://youtube.com/watch?v=71kLChHYtDE,,co-op,2:15,4,Pxndaz,Russian_Zone,Drewinz,Klooger,0,
mw,pitch-black,speedrun-specops,,battle.net,https://youtube.com/watch?v=X7jZ-y_Yopg,,co-op,2:40,4,Pxndaz,Russian_Zone,Drewinz,Klooger,0,
mw,grounded,speedrun-specops,,battle.net,https://youtube.com/watch?v=st8b6EllT-c,,co-op,2:54,4,Klooger,Drewinz,Russian_Zone,Pxndaz,0,
mw,grounded,speedrun-specops,,battle.net,https://youtube.com/watch?v=WSpVF8UG1Jk,,co-op,2:56,3,Klooger,Drewinz,Russian_Zone,,0,
mw,disinform,speedrun-specops,,battle.net,https://youtube.com/watch?v=WSpVF8UG1Jk,,co-op,2:56,3,Klooger,Drewinz,Russian_Zone,,0,
mw,grounded,speedrun-specops,,battle.net,https://youtube.com/watch?v=G_5CvwVlDM4,,solo,3:01,1,Russian_Zone,,,,0,
mw,disinform,speedrun-specops,,battle.net,https://youtube.com/watch?v=joVoOpmx4Sk,,co-op,8:39,4,Pxndaz,Russian_Zone,Drewinz,Klooger,0,
mw,safeguard,speedrun-specops,,battle.net,https://youtube.com/watch?v=jlheRUbwesY,,co-op,8:56,4,Pxndaz,Russian_Zone,Drewinz,Klooger,0,
mw,safeguard,speedrun-specops,,battle.net,https://youtube.com/watch?v=_6uJ4ULEX44,,co-op,9:19,3,Klooger,Drewinz,Russian_Zone,,0,
mw,safeguard,speedrun-specops,,battle.net,https://youtube.com/watch?v=3GFYxYi76uY,,solo,11:11,1,Russian_Zone,,,,0,
