game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,die-maschine,high-round,with-support,playstation,https://youtube.com/watch?v=EnWkSy-LQxM,,co-op,118,3,Speedykiller25,XVII,Speticgaming,,0,
bocw,die-maschine,high-round,with-support,playstation,https://youtube.com/watch?v=-7IhCPjjpNM,,co-op,102,2,Speticgaming,Speedykiller25,,,0,
wwii,the-darkest-shore,high-round,,playstation,http://twitch.tv/videos/1262501199,,co-op,90,3,TheAwakened1,TheOnlyDesire,Speticgaming,,0,
wwii,gresten-haus,high-round,,playstation,https://youtube.com/watch?v=G33W6Bme58g,,co-op,85,2,DaQuickHayden,Speticgaming,,,0,
wwii,prologue,high-round,,playstation,https://youtube.com/watch?v=pLi5C4NO6Lw,,solo,46,1,Speticgaming,,,,0,
bocw,die-maschine,flawless,with-support,playstation,https://youtube.com/watch?v=PYzhnDucSMY,,co-op,59,2,Speedykiller25,Speticgaming,,,0,
wwii,prologue,flawless,,playstation,https://youtube.com/watch?v=j1Z4TRTOcb4,,solo,42,1,Speticgaming,,,,0,
bocw,die-maschine,purist-highrounds,,playstation,https://youtube.com/watch?v=O3qFqxJnn_s,,co-op,56,2,Speedykiller25,Speticgaming,,,0,
wwii,gresten-haus,first-room,no-consumables,playstation,https://youtube.com/watch?v=G33W6Bme58g,,co-op,85,2,DaQuickHayden,Speticgaming,,,0,
wwii,gresten-haus,first-room,no-consumables,playstation,https://youtube.com/watch?v=AEgA5Z5I1l0,,solo,83,1,Speticgaming,,,,0,
wwii,the-shadowed-throne,first-room,no-consumables,playstation,https://youtube.com/watch?v=n1I8NSWDWOU,,solo,72,1,Speticgaming,,,,0,
wwii,the-darkest-shore,first-room,no-consumables,playstation,https://youtube.com/watch?v=uthIo7euhn8,,solo,52,1,Speticgaming,,,,0,
wwii,the-frozen-dawn,first-room,with-consumables,playstation,http://twitch.tv/videos/2563638509,,co-op,51,2,DaQuickHayden,Speticgaming,,,0,
wwii,the-darkest-shore,first-room,with-consumables,playstation,http://twitch.tv/videos/2562858654,,co-op,48,2,DaQuickHayden,Speticgaming,,,0,
wwii,the-darkest-shore,first-room,with-consumables,playstation,https://youtube.com/watch?v=H3qfI7YGvKw,,solo,48,1,Speticgaming,,,,0,
wwii,prologue,first-room,,playstation,https://youtube.com/watch?v=RfoEjbVd5aA,,solo,42,1,Speticgaming,,,,0,
wwii,the-final-reich,first-room,no-consumables,playstation,https://youtube.com/watch?v=bYSEvrpOx6s,,solo,32,1,Speticgaming,,,,0,
wwii,the-final-reich,no-power,no-consumables,playstation,https://youtube.com/watch?v=J2GF32GfFEM,,solo,188,1,Speticgaming,,,,0,
wwii,the-darkest-shore,no-power,no-consumables,playstation,https://youtube.com/watch?v=zKNTNQxFOjI,,solo,101,1,Speticgaming,,,,0,
wwii,the-darkest-shore,no-power,no-consumables,playstation,http://twitch.tv/videos/2631657063,,co-op,86,2,DaQuickHayden,Speticgaming,,,0,
bo6,liberty-falls,no-perks,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=cWdkMLMKmmw,,solo,101,1,Speticgaming,,,,0,
wwii,the-final-reich,wwii-no-armor,no-consumables,playstation,http://twitch.tv/videos/1301417357,,co-op,64,2,Speticgaming,TheAwakened1,,,0,
wwii,gresten-haus,wwii-no-armor,no-consumables,playstation,http://twitch.tv/videos/2679591030,,co-op,61,2,DaQuickHayden,Speticgaming,,,0,
wwii,the-darkest-shore,wwii-no-armor,no-consumables,playstation,http://twitch.tv/videos/2594865895,,co-op,57,2,DaQuickHayden,Speticgaming,,,0,
wwii,gresten-haus,wwii-no-armor,no-consumables,playstation,https://youtube.com/watch?v=WLg5yzTDqZ8,,solo,55,1,Speticgaming,,,,0,
wwii,prologue,wwii-no-armor,,playstation,https://youtube.com/watch?v=qgrhhZVu9kU,,solo,33,1,Speticgaming,,,,0,
wwii,the-final-reich,no-blitz,no-consumables,playstation,https://youtube.com/watch?v=x_okCmMINfY,,solo,93,1,Speticgaming,,,,0,
wwii,the-final-reich,no-blitz,with-consumables,playstation,https://youtube.com/watch?v=8o4_sHnACMg,,solo,79,1,Speticgaming,,,,0,
wwii,the-final-reich,no-blitz,no-consumables,playstation,http://twitch.tv/videos/2566962309,,co-op,68,2,StealthyViking2,Speticgaming,,,0,
wwii,the-final-reich,no-blitz,no-consumables,playstation,http://twitch.tv/videos/1301417357,,co-op,64,2,Speticgaming,TheAwakened1,,,0,
wwii,gresten-haus,no-blitz,no-consumables,playstation,http://twitch.tv/videos/2679591030,,co-op,61,2,DaQuickHayden,Speticgaming,,,0,
wwii,the-darkest-shore,no-blitz,no-consumables,playstation,https://youtube.com/watch?v=xQdFYuBy44g,,solo,61,1,Speticgaming,,,,0,
wwii,gresten-haus,no-blitz,with-consumables,playstation,https://youtube.com/watch?v=mgjKGA-v_Nw,,solo,60,1,Speticgaming,,,,0,
wwii,the-darkest-shore,no-blitz,no-consumables,playstation,http://twitch.tv/videos/2594865895,,co-op,57,2,DaQuickHayden,Speticgaming,,,0,
bocw,die-maschine,30-speedrun,normal,playstation,https://youtube.com/watch?v=AcS_bZZmnSI,,co-op,42:40,3,Speedykiller25,Speticgaming,XVII,,0,
