game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,moon,high-round,,steam,http://twitch.tv/videos/2015962748,,co-op,132,2,ZxmbieLegendGER,RainingZombies,,,0,
bo,nacht-der-untoten,high-round,,steam,http://twitch.tv/videos/1309167958,,co-op,46,3,KingEliSwagpus,ZxmbieLegendGER,RainingZombies,,0,
bo,shangri-la,flawless,,playstation,http://twitch.tv/videos/150429040,,solo,107,1,ZxmbieLegendGER,,,,0,
bo,shangri-la,flawless,,playstation,http://twitch.tv/videos/862956506,,co-op,37,4,RainingZombies,ZxmbieLegendGER,I_T_A_CH_I,ApLMoi_LeMALade-,0,
bo,shangri-la,flawless,,playstation,http://twitch.tv/videos/863529445,,co-op,37,3,RainingZombies,ZxmbieLegendGER,Stierkrieger,,0,
bo,moon,first-room,,steam,https://youtube.com/watch?v=ICOR8Cs7JgE,,solo,44,1,ZxmbieLegendGER,,,,0,
bo,der-riese,first-room,,steam,https://youtube.com/watch?v=L8Yr4ik3Ohk,,co-op,43,4,Zi0,Zombie_Legende_7,ZxmbieLegendGER,RainingZombies,0,
bo,moon,first-room,,steam,https://youtube.com/watch?v=g9gaGB67i4g,,co-op,42,2,ZxmbieLegendGER,RainingZombies,,,0,
bo,kino-der-toten,first-room,,steam,http://twitch.tv/videos/1736119759,,co-op,38,4,ZxmbieLegendGER,RainingZombies,MasterSmexy,xImCrossbow,0,
bo,moon,first-room,,steam,https://youtube.com/watch?v=e1LcOLXaJgo,,co-op,37,3,RainingZombies,ZxmbieLegendGER,theone53,,0,
bo,nacht-der-untoten,first-room,,steam,http://twitch.tv/videos/2125816639,,co-op,36,4,MasterSmexy,RainingZombies,ZxmbieLegendGER,Zombie_Legende_7,0,
bo2,bus-depot,first-room,,steam,https://youtube.com/watch?v=q35m3cIXSAU,,solo,36,1,ZxmbieLegendGER,,,,0,
bo,shangri-la,first-room,original,steam,http://twitch.tv/videos/2327466628,,co-op,35,4,ZxmbieLegendGER,RainingZombies,MasterSmexy,Resistance24,0,
bo,moon,first-room,,steam,http://twitch.tv/videos/1174727690,,co-op,34,4,RainingZombies,ZxmbieLegendGER,Zi0,Tonestone36,0,
bo,der-riese,first-room,,playstation,https://youtube.com/watch?v=Vv5kTYe-70Q,,co-op,34,3,RainingZombies,TeBz_Amnezia,ZxmbieLegendGER,,0,
bo,moon,first-room,,playstation,http://twitch.tv/videos/760916136,,co-op,33,3,ZxmbieLegendGER,RainingZombies,Resistance24,,0,
bo,kino-der-toten,first-room,,playstation,http://twitch.tv/videos/733060539,,co-op,33,4,ZxmbieLegendGER,RainingZombies,Resistance24,zTriCxX__,0,
bo,shangri-la,no-power,,steam,http://twitch.tv/videos/1628728381,,solo,159,1,ZxmbieLegendGER,,,,0,
bo,ascension,no-power,,steam,https://youtube.com/watch?v=JlEJPrEaAYY,,co-op,119,2,RainingZombies,ZxmbieLegendGER,,,0,
bo,moon,no-power,,steam,http://twitch.tv/videos/1654327894,,co-op,92,2,ZxmbieLegendGER,RainingZombies,,,0,
bo,ascension,no-power,,steam,http://twitch.tv/videos/1429345887,,co-op,89,3,ZxmbieLegendGER,RainingZombies,KingEliSwagpus,,0,
bo,kino-der-toten,no-power,,playstation,http://twitch.tv/videos/141320508,,solo,69,1,ZxmbieLegendGER,,,,0,
bo,kino-der-toten,no-power,,steam,https://youtube.com/watch?v=OvqVWONxHJk,,co-op,66,2,ZxmbieLegendGER,Schaender_69,,,0,
bo,der-riese,no-power,,playstation,https://youtube.com/watch?v=RRyH0pOPcPg,,co-op,61,2,RainingZombies,ZxmbieLegendGER,,,0,
bo,ascension,no-power,,steam,http://twitch.tv/videos/1529976855,,co-op,56,4,RainingZombies,ZxmbieLegendGER,Taimz,Wondawaffle,0,
bo,der-riese,no-power,,steam,http://twitch.tv/videos/1691287327,,co-op,52,4,ZxmbieLegendGER,RainingZombies,Zi0,Zombie_Legende_7,0,
bo,kino-der-toten,no-power,,steam,http://twitch.tv/videos/2333438065,,co-op,51,3,ZxmbieLegendGER,RainingZombies,MasterSmexy,,0,
bo,der-riese,no-power,,playstation,http://twitch.tv/videos/793675620,,co-op,49,3,RainingZombies,ZxmbieLegendGER,Schaender_69,,0,
bo,kino-der-toten,no-power,,playstation,http://twitch.tv/videos/792432081,,co-op,47,3,RainingZombies,ZxmbieLegendGER,Schaender_69,,0,
bo,shangri-la,no-power,,playstation,http://twitch.tv/videos/863529445,,co-op,44,3,RainingZombies,ZxmbieLegendGER,Stierkrieger,,0,
bo,kino-der-toten,no-power,,playstation,http://twitch.tv/videos/786621220,,co-op,44,4,RainingZombies,ZxmbieLegendGER,Resistance24,Stierkrieger,0,
bo,five,no-power,,playstation,http://twitch.tv/videos/152264093,,co-op,44,2,Schaender_69,ZxmbieLegendGER,,,0,
bo,verruckt,no-power,,steam,http://twitch.tv/videos/1201339769,,co-op,43,3,ZxmbieLegendGER,RainingZombies,theone53,,0,
bo,der-riese,no-power,,playstation,http://twitch.tv/videos/139751568,,solo,43,1,ZxmbieLegendGER,,,,0,
bo,call-of-the-dead,no-power,,playstation,http://twitch.tv/videos/862481006,,co-op,42,3,RainingZombies,ZxmbieLegendGER,I_T_A_CH_I,,0,
bo,five,no-power,,playstation,http://twitch.tv/videos/812924103,,co-op,42,3,RainingZombies,ZxmbieLegendGER,Schaender_69,,0,
bo,der-riese,no-power,,playstation,http://twitch.tv/videos/152081919,,co-op,41,3,ZxmbieLegendGER,Schaender_69,aZa_ZombieSlayer,,0,
bo,moon,no-power,,steam,http://twitch.tv/videos/1746650875,,co-op,38,4,ZxmbieLegendGER,RainingZombies,theone53,MasterSmexy,0,
