game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,buried,high-round,,steam,https://youtube.com/watch?v=d6bs8xNV-aw,,solo,255,1,issue,,,,0,
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=odr4LWOA9BI,,solo,236,1,issue,,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/1897400220,,solo,219,1,issue,,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=N0D1UieRNgM,,co-op,120,2,issue,NoMoleMan,,,0,
bo2,buried,high-round,,steam,https://youtube.com/watch?v=ZD23u3V9Qao,,co-op,107,4,DestroyeR ZP,NoMoleMan,Hefesto,issue,0,
bo2,buried,flawless,,steam,http://twitch.tv/videos/1849221514,,solo,233,1,issue,,,,0,
bo2,mob-of-the-dead,flawless,,steam,https://youtube.com/watch?v=WwHcq1UFsAI,,co-op,45,4,NoMoleMan,DestroyeR ZP,White_Sz,issue,0,
bo2,mob-of-the-dead,first-room,,xbox,https://youtube.com/watch?v=7giYK1k6gO0,,co-op,31,2,issue,Symphony,,,0,
bo2,buried,no-power,,steam,https://youtube.com/watch?v=d6bs8xNV-aw,,solo,255,1,issue,,,,0,
bo2,die-rise,no-power,,steam,http://twitch.tv/videos/1897400220,,solo,219,1,issue,,,,0,
bo2,die-rise,no-power,,steam,https://youtube.com/watch?v=N0D1UieRNgM,,co-op,120,2,issue,NoMoleMan,,,0,
bo2,origins,no-power,,xbox,http://twitch.tv/videos/637685210,,solo,74,1,issue,,,,0,
bo2,die-rise,30-speedrun,,steam,http://twitch.tv/videos/1079075053,,solo,25:55,1,issue,,,,0,
bo2,die-rise,50-speedrun,,steam,http://twitch.tv/videos/1266534104,,solo,49:22,1,issue,,,,0,
bo2,die-rise,50-speedrun,,steam,http://twitch.tv/videos/1914911255,,co-op,1:06:58,2,NoMoleMan,issue,,,0,
bo2,die-rise,50-speedrun,,steam,https://youtube.com/watch?v=KtROvlVg8oQ,,co-op,2:56:38,4,NoMoleMan,issue,KADS ZOMBIES YT,DestroyeR ZP,0,
bo2,mob-of-the-dead,50-speedrun,,steam,https://youtube.com/watch?v=WwHcq1UFsAI,,co-op,3:53:39,4,NoMoleMan,DestroyeR ZP,White_Sz,issue,0,
bo2,die-rise,70-speedrun,,steam,http://twitch.tv/videos/1266534104,,solo,1:17:03,1,issue,,,,0,
bo2,die-rise,70-speedrun,,steam,https://youtube.com/watch?v=nhl7agaPb90,,co-op,1:52:05,2,NoMoleMan,issue,,,0,
bo2,die-rise,100-speedrun,,steam,http://twitch.tv/videos/1251247625,,solo,2:31:39,1,issue,,,,0,
bo2,die-rise,100-speedrun,,steam,https://youtube.com/watch?v=_yqe4b9p-Ck,,co-op,4:07:16,2,issue,NoMoleMan,,,0,
bo2,buried,100-speedrun,,steam,https://youtube.com/watch?v=W7eFLGi4Ej4,,solo,6:03:39,1,issue,,,,0,
bo2,buried,200-speedrun,,steam,https://youtube.com/watch?v=JqJ2IDrRv38,,solo,42:37:15,1,issue,,,,0,
bo2,mob-of-the-dead,200-speedrun,,steam,https://youtube.com/watch?v=s9f3dDwP4qE,,solo,59:23:11,1,issue,,,,0,
community,buried,com-no-kill,,steam,https://youtube.com/watch?v=d6bs8xNV-aw,,solo,255,1,issue,,,,0,
community,mob-of-the-dead,com-warden,,steam,http://twitch.tv/videos/923530110,,solo,38,1,issue,,,,0,
community,tranzit,com-bus,,steam,http://twitch.tv/videos/1024482090,,solo,29,1,issue,,,,0,
